StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_13,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_22,Q10_23,Q10_27,Q10_29,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_22,Q11_23,Q11_27,Q11_29,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q21_17,Q21_18,Q21_19,Q21_20,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I am a....,How old are you? (enter your age),I live in... (enter your zip code),"In my opinion, ___ is the most
aggressive character in Harry Potter.","In my opinion, ___ is the least
aggressive character in Harry Potter.","In my opinion, ___ is the most
heroic character in Harry Potter.","I believe magical creatures
are equally as violent as human characters in Harry Potter.","Please rank the following
characters in order from least aggressive to most aggressive. - Harry Potter","Please rank the following
characters in order from least aggressive to most aggressive. - Lord Voldemort (Tom Riddle)","Please rank the following
characters in order from least aggressive to most aggressive. - Draco Malfoy","Please rank the following
characters in order from least aggressive to most aggressive. - Severus Snape","Please rank the following
characters in order from least aggressive to most aggressive. - Bellatrix Lestrange","Please rank the following
characters in order from least aggressive to most aggressive. - Ron Weasley","Please rank the following
characters in order from least aggressive to most aggressive. - Hermione Granger","Please rank the following
characters in order from least aggressive to most aggressive. - Albus Dumbledore","Please rank the following
characters in order from least aggressive to most aggressive. - Antonin Dolohov","Please rank the following
characters in order from least aggressive to most aggressive. - Barty Crouch Jr.","Please rank the following
characters in order from least aggressive to most aggressive. - Peter Pettigrew","Please rank the following
characters in order from least aggressive to most aggressive. - Arthur Weasley","Please rank the following
characters in order from least aggressive to most aggressive. - Quirinus Quirrell/Voldemort","Please rank the following
characters in order from least aggressive to most aggressive. - Minerva McGonagall","Please rank the following
characters in order from least aggressive to most aggressive. - Rubeus Hagrid","Please rank the following
characters in order from least aggressive to most aggressive. - Remus Lupin","Please rank the following
characters in order from least aggressive to most aggressive. - Dolores Umbridge","Please rank the following
characters in order from least aggressive to most aggressive. - Sirius Black","Please rank the following
characters in order from least aggressive to most aggressive. - Alastor Moody","Please rank the following
characters in order from least aggressive to most aggressive. - Lucius Malfoy","Please rank the following
characters in order from least aggressive to most aggressive. - Neville Longbottom","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Harry Potter","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Lord Voldemort (Tom Riddle)","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Draco Malfoy","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Severus Snape","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Bellatrix Lestrange","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Ron Weasley","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Hermione Granger","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Albus Dumbledore","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Antonin Dolohov","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Barty Crouch Jr.","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Peter Pettigrew","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Molly Weasley","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Arthur Weasley","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Quirinus Quirrell/Voldemort","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Minerva McGonagall","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Rubeus Hagrid","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Remus Lupin","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Dolores Umbridge","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Sirius Black","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Alastor Moody","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Lucius Malfoy","On a scale of 1 to 5, with
1 extremely non-aggressive and 5 being extremely aggressive, please rate each
of the following characters. - Neville Longbottom","In general, do you feel
the level of aggression in Harry Potter is acceptable?","In general, do you feel
aggressive acts conducted by “good” characters (Harry, Dumbeldore, etc.) were
justifiable?","Which of the following
events in Harry Potter and The Sorcerer’s Stone, did you find most
aggressive?","Which of the following
events in Harry Potter and The Chamber of Secrets, did you find most
aggressive?","Which of the following
events in Harry Potter and The Prisoner of Azkaban, did you find most
aggressive?","Which of the following
events in Harry Potter and The Goblet of Fire, did you find most
aggressive?","Which of the following
events in Harry Potter and The Order of the Phoenix, did you find most
aggressive?","Which of the following
events in Harry Potter and The Half-Blood Prince, did you find most
aggressive?","Which of the following
events in Harry Potter and The Deathly Hallows, did you find most
aggressive?","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Avada Kedavra - “Killing Curse” (part of the unforgivable curses that leads to a life sentence or capital punishment in Azkaban)","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Colloportus - “Locking Spell”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Confounds - “Confusion Charm”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Crucio - “Torturing Spell”  (part of the unforgivable curses that leads to a life sentence or capital punishment in Azkaban)","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Diffindo - “Severing Charm”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Expecto Patronum - “Defensive Spell Against Dark Spirits Using Incarnated Positive Emotions”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Expelliarmus - “Disarming Charm”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Impedimenta - “Impediment Jinx (tripping, knocking back, freezing etc.)”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Imperio - “Imperius Curse/Takes Over the Mind of Victim to do the Caster’s Will” (part of the unforgivable curses that leads to a life sentence or capital punishment in Azkaban)","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Impervious - “Impervious Charm/Repellant Charm”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Legilimens - “Legilimency Spell/Delves Into the Victim’s Mind (memories, thoughts and emotions)”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Levicorpus - “Dangling the Victim Charm”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Obligate - “Hiding Memory Charm/Victim Forgetting Particular Event”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Petrificus Totalus - “Full-body Bind Curse”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Protege - “Shield Charm”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Reducto - “Reductor Curse/Breaks or Disintegrates Objects”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Relashio - “Revulsion Jinx/Release Victim’s holding”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Sectumsempra - “Dark Gashing Wounds Spell”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Stupefy - “Stunning (sometimes unconscious) Spell”","In order of perceived aggression, with 1 with being extremely non-aggressive and 20 being most aggressive, please
rank each of the following magical spells used in Harry Potter: - Dark Mark - 13.	**Morsmordre** “Conjuring Symbol of the Death Eaters and Lord Voldemort”","On a scale of 1 (not at all) to 5 (very), how familiar do you consider yourself with the Harry Potter series?"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID24""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID10_11""}","{""ImportId"":""QID10_12""}","{""ImportId"":""QID10_13""}","{""ImportId"":""QID10_14""}","{""ImportId"":""QID10_15""}","{""ImportId"":""QID10_16""}","{""ImportId"":""QID10_17""}","{""ImportId"":""QID10_18""}","{""ImportId"":""QID10_19""}","{""ImportId"":""QID10_20""}","{""ImportId"":""QID10_21""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_6""}","{""ImportId"":""QID21_7""}","{""ImportId"":""QID21_8""}","{""ImportId"":""QID21_9""}","{""ImportId"":""QID21_10""}","{""ImportId"":""QID21_11""}","{""ImportId"":""QID21_12""}","{""ImportId"":""QID21_13""}","{""ImportId"":""QID21_14""}","{""ImportId"":""QID21_15""}","{""ImportId"":""QID21_16""}","{""ImportId"":""QID21_17""}","{""ImportId"":""QID21_18""}","{""ImportId"":""QID21_19""}","{""ImportId"":""QID21_20""}","{""ImportId"":""QID26""}"
2017-07-18 11:27:57,2017-07-18 11:41:13,IP Address,184.5.229.89,100,795,True,2017-07-18 11:41:13,R_27EiPVX0IxyV9dw,,,,,36.949798583984,-81.128898620605,anonymous,EN,Woman,51,22903,Bellatrix Lestrange,Neville Longbottom,"Albus Dumbledore ",True,18,32,29,19,33,14,15,8,22,13,10,5,7,11,3,21,31,23,26,27,1,Aggressive,Extremely Aggressive,Extremely Aggressive,Extremely Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Non-Aggressive,Aggressive,Aggressive,Aggressive,Non-Aggressive,Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Maybe/Unsure,Maybe/Unsure,Lord Voldemort kills Harry's parents,"Harry kills basilisk and uses basilisk's fang to puncture Tom Riddle's diary, destroying Tom Riddle (younger “memory” of Voldemort) ",Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,Snape kills Dumbledore,"Death Eaters attack Harry and his friends ",1,10,11,2,13,19,9,14,3,18,12,15,4,6,20,17,16,5,8,7,
2017-07-18 11:25:54,2017-07-18 11:44:30,IP Address,72.20.135.164,100,1116,True,2017-07-18 11:44:31,R_1jwdJyt2QisuZdh,,,,,29.734603881836,-95.416000366211,anonymous,EN,Man,33,77019,"Albus Dumbledore ",13,Hermione Granger,False,1,2,3,4,6,5,7,8,10,9,11,13,15,16,17,18,19,22,23,27,29,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Non-Aggressive,Extremely Non-Aggressive,Aggressive,Extremely Non-Aggressive,Non-Aggressive,Non-Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Non-Aggressive,Maybe/Unsure,Maybe/Unsure,Lord Voldemort kills Harry's parents,"Harry kills basilisk and uses basilisk's fang to puncture Tom Riddle's diary, destroying Tom Riddle (younger “memory” of Voldemort) ",Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,Bellatrix accusing Narcissa's husband (Lucius Malfoy) of allowing Harry to live,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,1,2,9,3,13,18,6,12,4,16,10,17,5,14,7,8,19,11,15,
2017-07-18 11:38:02,2017-07-18 11:46:11,IP Address,45.3.85.131,100,489,True,2017-07-18 11:46:12,R_AhcPM3cygTSwPsZ,,,,,37.179092407227,-80.351501464844,anonymous,EN,Woman,25,24060,Bellatrix Lestrange,Remus Lupin,Severus Snape,True,3,32,16,17,33,4,9,10,21,11,5,2,7,15,18,1,20,22,24,26,28,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Aggressive,Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Non-Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Non-Aggressive,Extremely Aggressive,Aggressive,Extremely Aggressive,Aggressive,Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,Ron and Harry almost being killed by the Whomping Willow and Aragog’s colony of giant spiders in the Forbidden Forest,Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,Snape kills Dumbledore,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,3,4,19,5,1,6,8,18,7,9,10,2,15,12,13,14,17,16,11,
2017-07-18 11:50:29,2017-07-18 12:17:07,IP Address,162.234.139.100,100,1598,True,2017-07-18 12:17:08,R_1poEcTA7a9MKk2Z,,,,,39.686904907227,-84.164100646973,anonymous,EN,Woman,39,45419,Severus Snape,Rubeus Hagrid,Severus Snape,False,25,31,26,33,30,11,14,29,21,19,7,4,2,17,1,3,32,13,16,24,8,Aggressive,Extremely Aggressive,Aggressive,Extremely Aggressive,Extremely Aggressive,Non-Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Aggressive,Extremely Non-Aggressive,Non-Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,Snape kills Dumbledore,Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,5,2,16,4,10,9,6,19,3,17,12,18,14,8,7,11,15,1,13,
2017-07-18 12:02:29,2017-07-18 12:24:53,IP Address,76.177.47.44,100,1343,True,2017-07-18 12:24:54,R_2f1yptBdNLCngoq,,,,,38.253204345703,-84.552398681641,anonymous,EN,Woman,41,40324,Harry Potter,Neville Longbottom,Neville Longbottom,False,1,2,4,5,3,15,13,24,29,9,17,28,16,25,31,27,8,7,11,12,33,Extremely Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Non-Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Non-Aggressive,Aggressive,Non-Aggressive,Non-Aggressive,Non-Aggressive,Aggressive,Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Buckbeak's execution/Hermione punches Draco,After the Quidditch tournament a crowd of Death Eaters destroys tents and levitates four Muggles,Dolores Umbridge punishes Harry by use of the Black Quill,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,2,14,13,1,15,20,11,16,5,18,6,7,8,10,19,9,12,3,17,4,
2017-07-18 12:02:19,2017-07-18 12:26:07,IP Address,172.90.214.5,100,1427,True,2017-07-18 12:26:08,R_rkFuvMEmZWacSlz,,,,,33.916397094727,-118.40409851074,anonymous,EN,Woman,45,90245,Lord Voldemort (Tom Riddle),Rubeus Hagrid,Harry Potter,True,15,33,20,17,30,7,8,10,29,31,19,3,2,13,1,18,28,16,23,27,6,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Extremely Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Extremely Aggressive,Aggressive,Non-Aggressive,Extremely Non-Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Non-Aggressive,Aggressive,Aggressive,Non-Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,Ron and Harry almost being killed by the Whomping Willow and Aragog’s colony of giant spiders in the Forbidden Forest,Harry's encounter with dementors on the train,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,5,7,19,3,1,4,6,10,11,15,16,9,13,2,14,8,18,12,17,
2017-07-18 12:08:31,2017-07-18 12:35:46,IP Address,69.136.85.32,100,1634,True,2017-07-18 12:35:47,R_3m7CjmtausuGqIP,,,,,39.998397827148,-75.271202087402,anonymous,EN,Woman,33,19072,Lord Voldemort (Tom Riddle),25,Severus Snape,True,17,33,22,23,30,16,15,11,29,24,4,7,5,12,2,6,31,25,26,28,10,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Extremely Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Extremely Aggressive,Non-Aggressive,Non-Aggressive,Extremely Non-Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Yes,Yes,Lord Voldemort kills Harry's parents,Ron and Harry almost being killed by the Whomping Willow and Aragog’s colony of giant spiders in the Forbidden Forest,Harry's encounter with dementors on the train,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Bellatrix kills Sirius Black,"Harry and Dumbledore fight Voldemort's the Inferi ",Voldemort kills Snape to take possession of Dumbledore's wand / Neville kills Nagini / fight against Hogwarts scene,20,1,5,19,9,3,6,8,18,2,15,13,16,14,4,7,11,17,10,12,
2017-07-18 12:26:10,2017-07-18 12:43:48,IP Address,107.77.209.57,100,1057,True,2017-07-18 12:43:49,R_25Xfr8vF9OTpf7V,,,,,41.848297119141,-87.651702880859,anonymous,EN,Woman,42,47404,Dolores Umbridge,Remus Lupin,Harry Potter,False,13,32,21,24,25,7,10,12,26,31,17,3,22,18,4,2,33,23,14,28,1,Neither Non-Aggressive Nor Aggressive,Extremely Aggressive,Aggressive,Aggressive,Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Aggressive,Non-Aggressive,Neither Non-Aggressive Nor Aggressive,Extremely Non-Aggressive,Aggressive,Aggressive,Extremely Non-Aggressive,Extremely Non-Aggressive,Extremely Aggressive,Aggressive,Neither Non-Aggressive Nor Aggressive,Aggressive,Extremely Non-Aggressive,Yes,Maybe/Unsure,Lord Voldemort kills Harry's parents,"The Dursleys imprison Harry in his room for the summer ",Buckbeak's execution/Hermione punches Draco,"The Graveyard scene: Peter Pettigrew (Wormtail) kills Cedric Diggory, Voldemort returns and tries to kill Harry",Dolores Umbridge punishes Harry by use of the Black Quill,Snape kills Dumbledore,Harry duels and kills Voldemort,1,20,15,2,13,17,14,16,4,18,6,5,10,9,19,11,7,3,12,8,
